	datetime	site_id	mlid	rlf	1-day-predict	5-day-predict
0	2021-02-13	RL_;ABDV	A0BE	False	False	False
1	2021-02-13	RL_;ABDV	A0BI	False	False	False
2	2021-02-13	RL_;ABDV	A5AB	False	False	False
3	2021-02-13	RL_;ABDV	A8CQ	False	False	False
4	2021-02-13	RL_;ABDV	A8DQ	False	False	False
5	2021-02-13	RL_;ABDV	A9ZA	False	False	False
6	2021-02-13	RL_;ABL>	A0EB	False	False	False
7	2021-02-13	RL_;ABL>	A0IB	False	False	False
8	2021-02-13	RL_;ABL>	A9AM	False	False	False
9	2021-02-13	RL_;ABTP	A5ZA	False	False	False
10	2021-02-13	RL_;AC?E	A8CO	False	False	False
11	2021-02-13	RL_;AC?E	A8DO	False	False	False
12	2021-02-13	RL_;AC?E	A9ML	False	False	False
13	2021-02-13	RL_;AC?E	A9MY	False	False	False
14	2021-02-13	RL_;AC?E	A9PM	False	False	False
15	2021-02-13	RL_;ADKP	A0DE			
16	2021-02-13	RL_;ADKP	A5AN			
17	2021-02-13	RL_;ADR@	A5OP	False	False	False
18	2021-02-13	RL_;ADR@	A6MF	False	False	False
19	2021-02-13	RL_;ADR@	A9LZ	False	False	False
20	2021-02-13	RL_;AICJ	A5NR	False	False	False
21	2021-02-13	RL_;AICJ	A5UR	False	False	False
22	2021-02-13	RL_;APK@	A9AX	False	False	False
23	2021-02-13	RL_;APK@	A9GH	False	False	False
24	2021-02-13	RL_;APK@	A9NE	False	False	False
25	2021-02-13	RL_;APKH	A4AL	False	False	False
26	2021-02-13	RL_;APKK	A5DM			
27	2021-02-13	RL_;APKK	A5IX	False	False	False
28	2021-02-13	RL_;APKK	A5JX	False	False	False
29	2021-02-13	RL_;APKK	A5LM			
30	2021-02-13	RL_;APKK	A5OT	False	False	False
31	2021-02-13	RL_;APKK	A5VY	False	False	False
32	2021-02-13	RL_;APKK	A9BW	False	False	False
33	2021-02-13	RL_;AT?S	A9KD	False	False	False
34	2021-02-13	RL_;AZRD	A6JY	False	False	False
35	2021-02-13	RL_I9BBP	A9RD	False	False	False
36	2021-02-13	RL_I9BBP	A9UE	False	False	False
37	2021-02-13	RL_I9BI>	A4CW			
38	2021-02-13	RL_I9BI>	A4CX			
39	2021-02-13	RL_I9BI>	A4UW			
40	2021-02-13	RL_I9BI>	A6BK			
41	2021-02-13	RL_I9BI>	A6KT			
42	2021-02-13	RL_I9BI>	A8CT			
43	2021-02-13	RL_I9BI>	A9XH			
44	2021-02-13	RL_I9BIS	A9AI	False	False	False
45	2021-02-13	RL_I9BIS	A9DG	False	False	False
46	2021-02-13	RL_I9BIS	A9OD	False	False	False
47	2021-02-13	RL_I9BP?	A5BW	False	False	False
48	2021-02-13	RL_I9BP?	A9CJ	False	False	False
49	2021-02-13	RL_I9BP?	A9IA	False	False	False
50	2021-02-13	RL_I9BWF	A9GD	False	False	False
51	2021-02-13	RL_I9CBJ	A4SA	False	False	False
52	2021-02-13	RL_I9CKQ	A4PF	False	False	False
53	2021-02-13	RL_I9FKQ	A4VA	False	False	False
54	2021-02-13	RL_I9J?H	A4LM	False	False	False
55	2021-02-13	RL_I9J?H	A4TD	False	False	False
56	2021-02-13	RL_I9J?S	A5HT			
57	2021-02-13	RL_I9J?S	A5XD			
58	2021-02-13	RL_I9J?S	A6MN			
59	2021-02-13	RL_I9J@>	A6NM	False	False	False
60	2021-02-13	RL_I9JC2	A4WU			
61	2021-02-13	RL_I9JDF	A4FN	False	False	False
62	2021-02-13	RL_I9JER	A4HE	False	False	False
63	2021-02-13	RL_I9JII	A4WC	False	False	False
64	2021-02-13	RL_I9JIW	A4PA	False	False	False
65	2021-02-13	RL_I9JPM	A4AP	False	False	False
66	2021-02-13	RL_I9JRJ	A4AS	False	False	False
67	2021-02-13	RL_I9JRJ	A4DT	False	False	False
68	2021-02-13	RL_I9JRJ	A4EH	False	False	False
69	2021-02-13	RL_I9JRJ	A9HX	False	False	False
70	2021-02-13	RL_I9JRJ	A9JU	False	False	False
71	2021-02-13	RL_I9JSK	A9XU			
72	2021-02-13	RL_I9JW?	A4IU	False	False	False
73	2021-02-13	RL_I9JW?	A4JK	False	False	False
74	2021-02-13	RL_I9JW?	A4UD	False	False	False
75	2021-02-13	RL_I9JW?	A6OT	False	False	False
76	2021-02-13	RL_I9JXB	A6UT	False	False	False
